,Region,Year,Indicator,continent,UNregion,name_official,Normalized
320,HKG,2007,EJ Index,Asia,Eastern Asia,Hong Kong SAR,0.7039640849734781
321,HKG,2012,EJ Index,Asia,Eastern Asia,Hong Kong SAR,0.7057420802776972
322,HKG,2017,EJ Index,Asia,Eastern Asia,Hong Kong SAR,0.703193747992536
323,HKG,2022,EJ Index,Asia,Eastern Asia,Hong Kong SAR,0.7144755681625734
324,HND,2007,EJ Index,America,Central America,Republic of Honduras,0.5664693846733401
325,HND,2012,EJ Index,America,Central America,Republic of Honduras,0.5779312684333768
326,HND,2017,EJ Index,America,Central America,Republic of Honduras,0.593915679430479
327,HND,2022,EJ Index,America,Central America,Republic of Honduras,0.5922432195847188
328,HRV,2007,EJ Index,Europe,Southern Europe,Republic of Croatia,0.8022088277148827
329,HRV,2012,EJ Index,Europe,Southern Europe,Republic of Croatia,0.8074349124344478
330,HRV,2017,EJ Index,Europe,Southern Europe,Republic of Croatia,0.8158317705424747
331,HRV,2022,EJ Index,Europe,Southern Europe,Republic of Croatia,0.8240035361503625
332,HTI,2007,EJ Index,America,Caribbean,Republic of Haiti,0.5483913483900464
333,HTI,2012,EJ Index,America,Caribbean,Republic of Haiti,0.5469008847992355
334,HTI,2017,EJ Index,America,Caribbean,Republic of Haiti,0.5278417340243233
335,HTI,2022,EJ Index,America,Caribbean,Republic of Haiti,0.5290888211379096
336,HUN,2007,EJ Index,Europe,Eastern Europe,Republic of Hungary,0.8077095059997591
337,HUN,2012,EJ Index,Europe,Eastern Europe,Republic of Hungary,0.8138415305153354
338,HUN,2017,EJ Index,Europe,Eastern Europe,Republic of Hungary,0.8144738496145275
339,HUN,2022,EJ Index,Europe,Eastern Europe,Republic of Hungary,0.8134962428640649
340,IDN,2007,EJ Index,Asia,South-eastern Asia,Republic of Indonesia,0.6136144339147988
341,IDN,2012,EJ Index,Asia,South-eastern Asia,Republic of Indonesia,0.6122509008404231
342,IDN,2017,EJ Index,Asia,South-eastern Asia,Republic of Indonesia,0.6056000920707933
343,IDN,2022,EJ Index,Asia,South-eastern Asia,Republic of Indonesia,0.6148588224015161
344,IMN,2007,EJ Index,Europe,Northern Europe,Isle of Man,0.7885106272193061
345,IMN,2012,EJ Index,Europe,Northern Europe,Isle of Man,0.8663754487049131
346,IMN,2017,EJ Index,Europe,Northern Europe,Isle of Man,0.8661760436782012
347,IMN,2022,EJ Index,Europe,Northern Europe,Isle of Man,0.8733014137557957
348,IND,2007,EJ Index,Asia,Southern Asia,Republic of India,0.530144543213042
349,IND,2012,EJ Index,Asia,Southern Asia,Republic of India,0.526972345340536
350,IND,2017,EJ Index,Asia,Southern Asia,Republic of India,0.5171457795815378
351,IND,2022,EJ Index,Asia,Southern Asia,Republic of India,0.5330067951568507
352,IRL,2007,EJ Index,Europe,Northern Europe,Ireland,0.8293709272348075
353,IRL,2012,EJ Index,Europe,Northern Europe,Ireland,0.8424634886051731
354,IRL,2017,EJ Index,Europe,Northern Europe,Ireland,0.8448012991148008
355,IRL,2022,EJ Index,Europe,Northern Europe,Ireland,0.8503770603951545
356,IRN,2007,EJ Index,Asia,Southern Asia,Islamic Republic of Iran,0.6526526602785909
357,IRN,2012,EJ Index,Asia,Southern Asia,Islamic Republic of Iran,0.6622553456050901
358,IRN,2017,EJ Index,Asia,Southern Asia,Islamic Republic of Iran,0.6594932031186806
359,IRN,2022,EJ Index,Asia,Southern Asia,Islamic Republic of Iran,0.6352143573684629
360,IRQ,2007,EJ Index,Asia,Western Asia,Republic of Iraq,0.5843877299368601
361,IRQ,2012,EJ Index,Asia,Western Asia,Republic of Iraq,0.5806879899958993
362,IRQ,2017,EJ Index,Asia,Western Asia,Republic of Iraq,0.578149410709827
363,IRQ,2022,EJ Index,Asia,Western Asia,Republic of Iraq,0.5687079576483793
364,ISL,2007,EJ Index,Europe,Northern Europe,Republic of Iceland,0.8029290830235567
365,ISL,2012,EJ Index,Europe,Northern Europe,Republic of Iceland,0.8178305216932035
366,ISL,2017,EJ Index,Europe,Northern Europe,Republic of Iceland,0.8217163316979426
367,ISL,2022,EJ Index,Europe,Northern Europe,Republic of Iceland,0.8424495240996426
368,ISR,2007,EJ Index,Asia,Western Asia,State of Israel,0.7321989776896013
369,ISR,2012,EJ Index,Asia,Western Asia,State of Israel,0.7340155645063381
370,ISR,2017,EJ Index,Asia,Western Asia,State of Israel,0.7217842804746288
371,ISR,2022,EJ Index,Asia,Western Asia,State of Israel,0.7313432148055519
372,ITA,2007,EJ Index,Europe,Southern Europe,Italian Republic,0.7758923479647518
373,ITA,2012,EJ Index,Europe,Southern Europe,Italian Republic,0.7818327160376115
374,ITA,2017,EJ Index,Europe,Southern Europe,Italian Republic,0.7776025701691682
375,ITA,2022,EJ Index,Europe,Southern Europe,Italian Republic,0.7820183511609999
376,JAM,2007,EJ Index,America,Caribbean,Jamaica,0.6722222199988481
377,JAM,2012,EJ Index,America,Caribbean,Jamaica,0.6748054419385748
378,JAM,2017,EJ Index,America,Caribbean,Jamaica,0.6563172762111508
379,JAM,2022,EJ Index,America,Caribbean,Jamaica,0.6534690999614949
380,JOR,2007,EJ Index,Asia,Western Asia,Hashemite Kingdom of Jordan,0.6777193220311153
381,JOR,2012,EJ Index,Asia,Western Asia,Hashemite Kingdom of Jordan,0.6788744159655358
382,JOR,2017,EJ Index,Asia,Western Asia,Hashemite Kingdom of Jordan,0.681924453981007
383,JOR,2022,EJ Index,Asia,Western Asia,Hashemite Kingdom of Jordan,0.6815907127961646
384,JPN,2007,EJ Index,Asia,Eastern Asia,Japan,0.7586276948483889
385,JPN,2012,EJ Index,Asia,Eastern Asia,Japan,0.7688326365572518
386,JPN,2017,EJ Index,Asia,Eastern Asia,Japan,0.7633877664608125
387,JPN,2022,EJ Index,Asia,Eastern Asia,Japan,0.7536456770055658
388,KAZ,2007,EJ Index,Asia,Central Asia,Republic of Kazakhstan,0.7418997860550012
389,KAZ,2012,EJ Index,Asia,Central Asia,Republic of Kazakhstan,0.7519009020367539
390,KAZ,2017,EJ Index,Asia,Central Asia,Republic of Kazakhstan,0.7527800655519213
391,KAZ,2022,EJ Index,Asia,Central Asia,Republic of Kazakhstan,0.7558030217515119
392,KEN,2007,EJ Index,Africa,Eastern Africa,Republic of Kenya,0.5980174066242329
393,KEN,2012,EJ Index,Africa,Eastern Africa,Republic of Kenya,0.5944671275443462
394,KEN,2017,EJ Index,Africa,Eastern Africa,Republic of Kenya,0.5925117678980192
395,KEN,2022,EJ Index,Africa,Eastern Africa,Republic of Kenya,0.6006967538836276
396,KGZ,2007,EJ Index,Asia,Central Asia,Kyrgyz Republic,0.6861340432534871
397,KGZ,2012,EJ Index,Asia,Central Asia,Kyrgyz Republic,0.6884070980602607
398,KGZ,2017,EJ Index,Asia,Central Asia,Kyrgyz Republic,0.6942951311707803
399,KGZ,2022,EJ Index,Asia,Central Asia,Kyrgyz Republic,0.7147799259553189
400,KHM,2007,EJ Index,Asia,South-eastern Asia,Kingdom of Cambodia,0.5874166056232853
401,KHM,2012,EJ Index,Asia,South-eastern Asia,Kingdom of Cambodia,0.583379980527285
402,KHM,2017,EJ Index,Asia,South-eastern Asia,Kingdom of Cambodia,0.5820312644395619
403,KHM,2022,EJ Index,Asia,South-eastern Asia,Kingdom of Cambodia,0.5939941160839436
404,KIR,2007,EJ Index,Oceania,Micronesia,Republic of Kiribati,0.5466392063422993
405,KIR,2012,EJ Index,Oceania,Micronesia,Republic of Kiribati,0.5474551672693387
406,KIR,2017,EJ Index,Oceania,Micronesia,Republic of Kiribati,0.5518921024199468
407,KIR,2022,EJ Index,Oceania,Micronesia,Republic of Kiribati,0.5624965384278383
408,KNA,2007,EJ Index,America,Caribbean,Saint Kitts and Nevis,0.7152435333857174
409,KNA,2012,EJ Index,America,Caribbean,Saint Kitts and Nevis,0.7177622945710652
410,KNA,2017,EJ Index,America,Caribbean,Saint Kitts and Nevis,0.7016954129968843
411,KNA,2022,EJ Index,America,Caribbean,Saint Kitts and Nevis,0.6981275306938518
412,KOR,2007,EJ Index,Asia,Eastern Asia,Republic of Korea,0.7192910985264324
413,KOR,2012,EJ Index,Asia,Eastern Asia,Republic of Korea,0.7142289696490445
414,KOR,2017,EJ Index,Asia,Eastern Asia,Republic of Korea,0.7087833536182947
415,KOR,2022,EJ Index,Asia,Eastern Asia,Republic of Korea,0.6974353134396271
416,KWT,2007,EJ Index,Asia,Western Asia,State of Kuwait,0.5975124453532608
417,KWT,2012,EJ Index,Asia,Western Asia,State of Kuwait,0.5998336653823473
418,KWT,2017,EJ Index,Asia,Western Asia,State of Kuwait,0.6111535783243094
419,KWT,2022,EJ Index,Asia,Western Asia,State of Kuwait,0.5946622622623396
420,LAO,2007,EJ Index,Asia,South-eastern Asia,Lao People's Democratic Republic,0.5510154842763519
421,LAO,2012,EJ Index,Asia,South-eastern Asia,Lao People's Democratic Republic,0.5512714024869014
422,LAO,2017,EJ Index,Asia,South-eastern Asia,Lao People's Democratic Republic,0.5474322426216292
423,LAO,2022,EJ Index,Asia,South-eastern Asia,Lao People's Democratic Republic,0.5560485387150075
424,LBN,2007,EJ Index,Asia,Western Asia,Lebanese Republic,0.6106488152635002
425,LBN,2012,EJ Index,Asia,Western Asia,Lebanese Republic,0.6096521704964681
426,LBN,2017,EJ Index,Asia,Western Asia,Lebanese Republic,0.6029872863090991
427,LBN,2022,EJ Index,Asia,Western Asia,Lebanese Republic,0.6042488756456976
428,LBR,2007,EJ Index,Africa,Western Africa,Republic of Liberia,0.5757949064007352
429,LBR,2012,EJ Index,Africa,Western Africa,Republic of Liberia,0.5768252107587766
430,LBR,2017,EJ Index,Africa,Western Africa,Republic of Liberia,0.5803303515415097
431,LBR,2022,EJ Index,Africa,Western Africa,Republic of Liberia,0.5949312899371954
432,LBY,2007,EJ Index,Africa,Northern Africa,State of Libya,0.6360334630593686
433,LBY,2012,EJ Index,Africa,Northern Africa,State of Libya,0.640853310971768
434,LBY,2017,EJ Index,Africa,Northern Africa,State of Libya,0.6458678390375072
435,LBY,2022,EJ Index,Africa,Northern Africa,State of Libya,0.6496976465268737
436,LCA,2007,EJ Index,America,Caribbean,Saint Lucia,0.7359126059879155
437,LCA,2012,EJ Index,America,Caribbean,Saint Lucia,0.7328321638150854
438,LCA,2017,EJ Index,America,Caribbean,Saint Lucia,0.7141765757562261
439,LCA,2022,EJ Index,America,Caribbean,Saint Lucia,0.7095756415396058
440,LIE,2007,EJ Index,Europe,Western Europe,Principality of Liechtenstein,0.7716457415387605
441,LIE,2012,EJ Index,Europe,Western Europe,Principality of Liechtenstein,0.7734764298163384
442,LIE,2017,EJ Index,Europe,Western Europe,Principality of Liechtenstein,0.7742679601682226
443,LIE,2022,EJ Index,Europe,Western Europe,Principality of Liechtenstein,0.7627674843570346
444,LKA,2007,EJ Index,Asia,Southern Asia,Democratic Socialist Republic of Sri Lanka,0.6335526024311572
445,LKA,2012,EJ Index,Asia,Southern Asia,Democratic Socialist Republic of Sri Lanka,0.655832579024375
446,LKA,2017,EJ Index,Asia,Southern Asia,Democratic Socialist Republic of Sri Lanka,0.6725163868988906
447,LKA,2022,EJ Index,Asia,Southern Asia,Democratic Socialist Republic of Sri Lanka,0.6818709920290079
448,LSO,2007,EJ Index,Africa,Southern Africa,Kingdom of Lesotho,0.5321233840573234
449,LSO,2012,EJ Index,Africa,Southern Africa,Kingdom of Lesotho,0.5330054757618741
450,LSO,2017,EJ Index,Africa,Southern Africa,Kingdom of Lesotho,0.5329863389711962
451,LSO,2022,EJ Index,Africa,Southern Africa,Kingdom of Lesotho,0.5463021296133138
452,LTU,2007,EJ Index,Europe,Northern Europe,Republic of Lithuania,0.8518694025623955
453,LTU,2012,EJ Index,Europe,Northern Europe,Republic of Lithuania,0.8540511428786255
454,LTU,2017,EJ Index,Europe,Northern Europe,Republic of Lithuania,0.8614377475648985
455,LTU,2022,EJ Index,Europe,Northern Europe,Republic of Lithuania,0.8726197478634123
456,LUX,2007,EJ Index,Europe,Western Europe,Grand Duchy of Luxembourg,0.7602666088084016
457,LUX,2012,EJ Index,Europe,Western Europe,Grand Duchy of Luxembourg,0.7738685049476053
458,LUX,2017,EJ Index,Europe,Western Europe,Grand Duchy of Luxembourg,0.7775951051863375
459,LUX,2022,EJ Index,Europe,Western Europe,Grand Duchy of Luxembourg,0.7787559686604779
460,LVA,2007,EJ Index,Europe,Northern Europe,Republic of Latvia,0.847683949012805
461,LVA,2012,EJ Index,Europe,Northern Europe,Republic of Latvia,0.8490554201478823
462,LVA,2017,EJ Index,Europe,Northern Europe,Republic of Latvia,0.8481525538978368
463,LVA,2022,EJ Index,Europe,Northern Europe,Republic of Latvia,0.8491585508772133
464,MAC,2007,EJ Index,Asia,Eastern Asia,Macau SAR,0.6982628347526589
465,MAC,2012,EJ Index,Asia,Eastern Asia,Macau SAR,0.6994136237164411
466,MAC,2017,EJ Index,Asia,Eastern Asia,Macau SAR,0.6957473203884043
467,MAC,2022,EJ Index,Asia,Eastern Asia,Macau SAR,0.7069637475548521
468,MAF,2007,EJ Index,America,Caribbean,Saint-Martin (French part),0.6936886000102929
469,MAF,2012,EJ Index,America,Caribbean,Saint-Martin (French part),0.6927521840389992
470,MAF,2017,EJ Index,America,Caribbean,Saint-Martin (French part),0.677752289068936
471,MAF,2022,EJ Index,America,Caribbean,Saint-Martin (French part),0.6748468072097498
472,MAR,2007,EJ Index,Africa,Northern Africa,Kingdom of Morocco,0.6475093296706093
473,MAR,2012,EJ Index,Africa,Northern Africa,Kingdom of Morocco,0.6586172382966768
474,MAR,2017,EJ Index,Africa,Northern Africa,Kingdom of Morocco,0.6638172077031119
475,MAR,2022,EJ Index,Africa,Northern Africa,Kingdom of Morocco,0.66670790415299
476,MCO,2007,EJ Index,Europe,Western Europe,Principality of Monaco,0.7018414298628184
477,MCO,2012,EJ Index,Europe,Western Europe,Principality of Monaco,0.7041131700067327
478,MCO,2017,EJ Index,Europe,Western Europe,Principality of Monaco,0.7035917349280929
479,MCO,2022,EJ Index,Europe,Western Europe,Principality of Monaco,0.7001811058580525
480,MDA,2007,EJ Index,Europe,Eastern Europe,Republic of Moldova,0.728378855047803
481,MDA,2012,EJ Index,Europe,Eastern Europe,Republic of Moldova,0.7326090121367724
482,MDA,2017,EJ Index,Europe,Eastern Europe,Republic of Moldova,0.7528581524441212
483,MDA,2022,EJ Index,Europe,Eastern Europe,Republic of Moldova,0.7793071990966716
484,MDG,2007,EJ Index,Africa,Eastern Africa,Republic of Madagascar,0.5389448128464618
485,MDG,2012,EJ Index,Africa,Eastern Africa,Republic of Madagascar,0.5474823375860824
486,MDG,2017,EJ Index,Africa,Eastern Africa,Republic of Madagascar,0.548946302668838
487,MDG,2022,EJ Index,Africa,Eastern Africa,Republic of Madagascar,0.554539707205971
488,MDV,2007,EJ Index,Asia,Southern Asia,Republic of Maldives,0.6728691647631948
489,MDV,2012,EJ Index,Asia,Southern Asia,Republic of Maldives,0.6747502077224389
490,MDV,2017,EJ Index,Asia,Southern Asia,Republic of Maldives,0.6728095579201784
491,MDV,2022,EJ Index,Asia,Southern Asia,Republic of Maldives,0.6719737599853826
492,MEX,2007,EJ Index,America,Central America,United Mexican States,0.6068541126546911
493,MEX,2012,EJ Index,America,Central America,United Mexican States,0.6136463204131742
494,MEX,2017,EJ Index,America,Central America,United Mexican States,0.603454286782527
495,MEX,2022,EJ Index,America,Central America,United Mexican States,0.599317203717698
496,MHL,2007,EJ Index,Oceania,Micronesia,Republic of the Marshall Islands,0.605348571367513
497,MHL,2012,EJ Index,Oceania,Micronesia,Republic of the Marshall Islands,0.6055791563426723
498,MHL,2017,EJ Index,Oceania,Micronesia,Republic of the Marshall Islands,0.6112172996964371
499,MHL,2022,EJ Index,Oceania,Micronesia,Republic of the Marshall Islands,0.6141293933639524
500,MKD,2007,EJ Index,Europe,Southern Europe,Republic of North Macedonia,0.6870732934619824
501,MKD,2012,EJ Index,Europe,Southern Europe,Republic of North Macedonia,0.6904404752530451
502,MKD,2017,EJ Index,Europe,Southern Europe,Republic of North Macedonia,0.6630660891009792
503,MKD,2022,EJ Index,Europe,Southern Europe,Republic of North Macedonia,0.6917746725800722
504,MLI,2007,EJ Index,Africa,Western Africa,Republic of Mali,0.5093210359246783
505,MLI,2012,EJ Index,Africa,Western Africa,Republic of Mali,0.5097730053875459
506,MLI,2017,EJ Index,Africa,Western Africa,Republic of Mali,0.5127807718193861
507,MLI,2022,EJ Index,Africa,Western Africa,Republic of Mali,0.5359367182156719
508,MLT,2007,EJ Index,Europe,Southern Europe,Republic of Malta,0.7292136015389152
509,MLT,2012,EJ Index,Europe,Southern Europe,Republic of Malta,0.7297653869005054
510,MLT,2017,EJ Index,Europe,Southern Europe,Republic of Malta,0.7506974096945873
511,MLT,2022,EJ Index,Europe,Southern Europe,Republic of Malta,0.7429640025217608
512,MMR,2007,EJ Index,Asia,South-eastern Asia,Republic of the Union of Myanmar,0.5908413664538423
513,MMR,2012,EJ Index,Asia,South-eastern Asia,Republic of the Union of Myanmar,0.5990011839692628
514,MMR,2017,EJ Index,Asia,South-eastern Asia,Republic of the Union of Myanmar,0.5986713378870611
515,MMR,2022,EJ Index,Asia,South-eastern Asia,Republic of the Union of Myanmar,0.6198764761187623
516,MNE,2007,EJ Index,Europe,Southern Europe,Montenegro,0.7143499859832088
517,MNE,2012,EJ Index,Europe,Southern Europe,Montenegro,0.7294492804637834
518,MNE,2017,EJ Index,Europe,Southern Europe,Montenegro,0.7270913191252498
519,MNE,2022,EJ Index,Europe,Southern Europe,Montenegro,0.7300685135660341
520,MNG,2007,EJ Index,Asia,Eastern Asia,Mongolia,0.640268338551752
521,MNG,2012,EJ Index,Asia,Eastern Asia,Mongolia,0.631537145924711
522,MNG,2017,EJ Index,Asia,Eastern Asia,Mongolia,0.6254552142941348
523,MNG,2022,EJ Index,Asia,Eastern Asia,Mongolia,0.6508474130994506
524,MNP,2007,EJ Index,Oceania,Micronesia,Northern Mariana Islands,0.5408143146470653
525,MNP,2012,EJ Index,Oceania,Micronesia,Northern Mariana Islands,0.5396470501598591
526,MNP,2017,EJ Index,Oceania,Micronesia,Northern Mariana Islands,0.5466830429759895
527,MNP,2022,EJ Index,Oceania,Micronesia,Northern Mariana Islands,0.5495951366435048
528,MOZ,2007,EJ Index,Africa,Eastern Africa,Republic of Mozambique,0.5346353074312589
529,MOZ,2012,EJ Index,Africa,Eastern Africa,Republic of Mozambique,0.542868349838982
530,MOZ,2017,EJ Index,Africa,Eastern Africa,Republic of Mozambique,0.5540756376426427
531,MOZ,2022,EJ Index,Africa,Eastern Africa,Republic of Mozambique,0.5664570228721888
532,MRT,2007,EJ Index,Africa,Western Africa,Islamic Republic of Mauritania,0.564478547657012
533,MRT,2012,EJ Index,Africa,Western Africa,Islamic Republic of Mauritania,0.5634449983937437
534,MRT,2017,EJ Index,Africa,Western Africa,Islamic Republic of Mauritania,0.5621112345635874
535,MRT,2022,EJ Index,Africa,Western Africa,Islamic Republic of Mauritania,0.5607144194083564
536,MUS,2007,EJ Index,Africa,Eastern Africa,Republic of Mauritius,0.6566246132755146
537,MUS,2012,EJ Index,Africa,Eastern Africa,Republic of Mauritius,0.654358799225558
538,MUS,2017,EJ Index,Africa,Eastern Africa,Republic of Mauritius,0.647214265864183
539,MUS,2022,EJ Index,Africa,Eastern Africa,Republic of Mauritius,0.6415587669760328
540,MWI,2007,EJ Index,Africa,Eastern Africa,Republic of Malawi,0.5820126376566096
541,MWI,2012,EJ Index,Africa,Eastern Africa,Republic of Malawi,0.5823593922992197
542,MWI,2017,EJ Index,Africa,Eastern Africa,Republic of Malawi,0.5826880180617595
543,MWI,2022,EJ Index,Africa,Eastern Africa,Republic of Malawi,0.6064848569730884
544,MYS,2007,EJ Index,Asia,South-eastern Asia,Malaysia,0.6592824294682367
545,MYS,2012,EJ Index,Asia,South-eastern Asia,Malaysia,0.6585758444901093
546,MYS,2017,EJ Index,Asia,South-eastern Asia,Malaysia,0.6599421902757668
547,MYS,2022,EJ Index,Asia,South-eastern Asia,Malaysia,0.6409884054303671
548,NAM,2007,EJ Index,Africa,Southern Africa,Republic of Namibia,0.5998470964818394
549,NAM,2012,EJ Index,Africa,Southern Africa,Republic of Namibia,0.5960481516926465
550,NAM,2017,EJ Index,Africa,Southern Africa,Republic of Namibia,0.6002346804043751
551,NAM,2022,EJ Index,Africa,Southern Africa,Republic of Namibia,0.6121763749625497
552,NCL,2007,EJ Index,Oceania,Melanesia,New Caledonia,0.5271454735774991
553,NCL,2012,EJ Index,Oceania,Melanesia,New Caledonia,0.5294006500898107
554,NCL,2017,EJ Index,Oceania,Melanesia,New Caledonia,0.5293632646189084
555,NCL,2022,EJ Index,Oceania,Melanesia,New Caledonia,0.5323600760045892
556,NER,2007,EJ Index,Africa,Western Africa,Republic of Niger,0.5066046419451045
557,NER,2012,EJ Index,Africa,Western Africa,Republic of Niger,0.5038296367717834
558,NER,2017,EJ Index,Africa,Western Africa,Republic of Niger,0.5027504835111639
559,NER,2022,EJ Index,Africa,Western Africa,Republic of Niger,0.5130771872249251
560,NGA,2007,EJ Index,Africa,Western Africa,Federal Republic of Nigeria,0.5641768883482828
561,NGA,2012,EJ Index,Africa,Western Africa,Federal Republic of Nigeria,0.5528300861473323
562,NGA,2017,EJ Index,Africa,Western Africa,Federal Republic of Nigeria,0.5464547199575106
563,NGA,2022,EJ Index,Africa,Western Africa,Federal Republic of Nigeria,0.5611678015043675
564,NIC,2007,EJ Index,America,Central America,Republic of Nicaragua,0.6290549453301701
565,NIC,2012,EJ Index,America,Central America,Republic of Nicaragua,0.6248080754459426
566,NIC,2017,EJ Index,America,Central America,Republic of Nicaragua,0.6225193738697835
567,NIC,2022,EJ Index,America,Central America,Republic of Nicaragua,0.6296434160451629
568,NLD,2007,EJ Index,Europe,Western Europe,Kingdom of the Netherlands,0.8540495020846991
569,NLD,2012,EJ Index,Europe,Western Europe,Kingdom of the Netherlands,0.8678445478920419
570,NLD,2017,EJ Index,Europe,Western Europe,Kingdom of the Netherlands,0.8665579344412913
571,NLD,2022,EJ Index,Europe,Western Europe,Kingdom of the Netherlands,0.8578173547986334
572,NOR,2007,EJ Index,Europe,Northern Europe,Kingdom of Norway,0.8167026000972564
573,NOR,2012,EJ Index,Europe,Northern Europe,Kingdom of Norway,0.8230957770729738
574,NOR,2017,EJ Index,Europe,Northern Europe,Kingdom of Norway,0.8331510519961587
575,NOR,2022,EJ Index,Europe,Northern Europe,Kingdom of Norway,0.8292833476285267
576,NPL,2007,EJ Index,Asia,Southern Asia,Federal Democratic Republic of Nepal,0.6214260667281488
577,NPL,2012,EJ Index,Asia,Southern Asia,Federal Democratic Republic of Nepal,0.6223800015756447
578,NPL,2017,EJ Index,Asia,Southern Asia,Federal Democratic Republic of Nepal,0.6211324248011848
579,NPL,2022,EJ Index,Asia,Southern Asia,Federal Democratic Republic of Nepal,0.6230850851777632
580,NRU,2007,EJ Index,Oceania,Polynesia,Republic of Nauru,0.6007650647987461
581,NRU,2012,EJ Index,Oceania,Polynesia,Republic of Nauru,0.5996520340368878
582,NRU,2017,EJ Index,Oceania,Polynesia,Republic of Nauru,0.5964558317398415
583,NRU,2022,EJ Index,Oceania,Polynesia,Republic of Nauru,0.6041928252345026
584,NZL,2007,EJ Index,Oceania,Australia and New Zealand,New Zealand,0.7719301678683435
585,NZL,2012,EJ Index,Oceania,Australia and New Zealand,New Zealand,0.7703152196698893
586,NZL,2017,EJ Index,Oceania,Australia and New Zealand,New Zealand,0.7656553142048951
587,NZL,2022,EJ Index,Oceania,Australia and New Zealand,New Zealand,0.7652328909664823
588,OMN,2007,EJ Index,Asia,Western Asia,Sultanate of Oman,0.6112854516978488
589,OMN,2012,EJ Index,Asia,Western Asia,Sultanate of Oman,0.6136978326118314
590,OMN,2017,EJ Index,Asia,Western Asia,Sultanate of Oman,0.6208114265505624
591,OMN,2022,EJ Index,Asia,Western Asia,Sultanate of Oman,0.6171255477218298
592,PAK,2007,EJ Index,Asia,Southern Asia,Islamic Republic of Pakistan,0.5382387439001809
593,PAK,2012,EJ Index,Asia,Southern Asia,Islamic Republic of Pakistan,0.5385670267778545
594,PAK,2017,EJ Index,Asia,Southern Asia,Islamic Republic of Pakistan,0.5407425664052218
595,PAK,2022,EJ Index,Asia,Southern Asia,Islamic Republic of Pakistan,0.5447946717022643
596,PAN,2007,EJ Index,America,Central America,Republic of Panama,0.6742125578440098
597,PAN,2012,EJ Index,America,Central America,Republic of Panama,0.7131757616542284
598,PAN,2017,EJ Index,America,Central America,Republic of Panama,0.7137267579566865
599,PAN,2022,EJ Index,America,Central America,Republic of Panama,0.7186100404054152
600,PER,2007,EJ Index,America,South America,Republic of Peru,0.6248119401422554
601,PER,2012,EJ Index,America,South America,Republic of Peru,0.6361352023416014
602,PER,2017,EJ Index,America,South America,Republic of Peru,0.6396134609028199
603,PER,2022,EJ Index,America,South America,Republic of Peru,0.6500752503662752
604,PHL,2007,EJ Index,Asia,South-eastern Asia,Republic of the Philippines,0.5679032678191928
605,PHL,2012,EJ Index,Asia,South-eastern Asia,Republic of the Philippines,0.5696835214999023
606,PHL,2017,EJ Index,Asia,South-eastern Asia,Republic of the Philippines,0.5628549092162445
607,PHL,2022,EJ Index,Asia,South-eastern Asia,Republic of the Philippines,0.560217980660959
608,PLW,2007,EJ Index,Oceania,Micronesia,Republic of Palau,0.5920774487680451
609,PLW,2012,EJ Index,Oceania,Micronesia,Republic of Palau,0.5853759212074894
610,PLW,2017,EJ Index,Oceania,Micronesia,Republic of Palau,0.5892723682166261
611,PLW,2022,EJ Index,Oceania,Micronesia,Republic of Palau,0.5879807327657116
612,PNG,2007,EJ Index,Oceania,Melanesia,Independent State of Papua New Guinea,0.5440150661132783
613,PNG,2012,EJ Index,Oceania,Melanesia,Independent State of Papua New Guinea,0.549310438346895
614,PNG,2017,EJ Index,Oceania,Melanesia,Independent State of Papua New Guinea,0.5478033889314868
615,PNG,2022,EJ Index,Oceania,Melanesia,Independent State of Papua New Guinea,0.5465414614285441
616,POL,2007,EJ Index,Europe,Eastern Europe,Republic of Poland,0.8373076311075984
617,POL,2012,EJ Index,Europe,Eastern Europe,Republic of Poland,0.849368476317278
618,POL,2017,EJ Index,Europe,Eastern Europe,Republic of Poland,0.8636123870325325
619,POL,2022,EJ Index,Europe,Eastern Europe,Republic of Poland,0.8638868001750043
620,PRI,2007,EJ Index,America,Caribbean,Puerto Rico,0.6655484328763044
621,PRI,2012,EJ Index,America,Caribbean,Puerto Rico,0.6662381238967504
622,PRI,2017,EJ Index,America,Caribbean,Puerto Rico,0.6299701228235878
623,PRI,2022,EJ Index,America,Caribbean,Puerto Rico,0.6254131571894718
624,PRK,2007,EJ Index,Asia,Eastern Asia,Democratic People's Republic of Korea,0.6527391642401019
625,PRK,2012,EJ Index,Asia,Eastern Asia,Democratic People's Republic of Korea,0.6556993910942914
626,PRK,2017,EJ Index,Asia,Eastern Asia,Democratic People's Republic of Korea,0.651433346942348
627,PRK,2022,EJ Index,Asia,Eastern Asia,Democratic People's Republic of Korea,0.6638957002374866
628,PRT,2007,EJ Index,Europe,Southern Europe,Portuguese Republic,0.7443486550128455
629,PRT,2012,EJ Index,Europe,Southern Europe,Portuguese Republic,0.7653559416231653
630,PRT,2017,EJ Index,Europe,Southern Europe,Portuguese Republic,0.7322857161633759
631,PRT,2022,EJ Index,Europe,Southern Europe,Portuguese Republic,0.7297286034756518
632,PRY,2007,EJ Index,America,South America,Republic of Paraguay,0.6657994292477005
633,PRY,2012,EJ Index,America,South America,Republic of Paraguay,0.6674055854472638
634,PRY,2017,EJ Index,America,South America,Republic of Paraguay,0.6737701148581992
635,PRY,2022,EJ Index,America,South America,Republic of Paraguay,0.6851148157529626
